filedate,continent_name,total_population,total_confirmed,confirmed_per_100000,confirmed_per_100,increase_total_confirmed,increase_total_confirmed_percent,total_deaths,deaths_per_100000,deaths_per_100,increase_total_deaths,increase_total_deaths_percent
2021-02-26,Africa,1338826591,3880062,289.81,0.29,11103,0.29,103142,7.70,0.01,317,0.31
2021-02-25,Africa,1338826591,3868959,288.98,0.29,12271,0.32,102825,7.68,0.01,357,0.35
2021-02-24,Africa,1338826591,3856688,288.06,0.29,10529,0.27,102468,7.65,0.01,326,0.32
2021-02-23,Africa,1338826591,3846159,287.28,0.29,7740,0.20,102142,7.63,0.01,470,0.46
2021-02-22,Africa,1338826591,3838419,286.70,0.29,9017,0.24,101672,7.59,0.01,336,0.33
2021-02-21,Africa,1338826591,3829402,286.03,0.29,9520,0.25,101336,7.57,0.01,337,0.33
2021-02-20,Africa,1338826591,3819882,285.32,0.29,9559,0.25,100999,7.54,0.01,290,0.29
2021-02-19,Africa,1338826591,3810323,284.60,0.28,11019,0.29,100709,7.52,0.01,384,0.38
2021-02-18,Africa,1338826591,3799304,283.78,0.28,13893,0.37,100325,7.49,0.01,511,0.51
2021-02-17,Africa,1338826591,3785411,282.74,0.28,12317,0.33,99814,7.46,0.01,402,0.40
2021-02-16,Africa,1338826591,3773094,281.82,0.28,10027,0.27,99412,7.43,0.01,466,0.47
2021-02-15,Africa,1338826591,3763067,281.07,0.28,9893,0.26,98946,7.39,0.01,471,0.48
2021-02-14,Africa,1338826591,3753174,280.33,0.28,10325,0.28,98475,7.36,0.01,293,0.30
2021-02-13,Africa,1338826591,3742849,279.56,0.28,10914,0.29,98182,7.33,0.01,352,0.36
2021-02-12,Africa,1338826591,3731935,278.75,0.28,13922,0.37,97830,7.31,0.01,565,0.58
2021-02-11,Africa,1338826591,3718013,277.71,0.28,11870,0.32,97265,7.26,0.01,495,0.51
2021-02-10,Africa,1338826591,3706143,276.82,0.28,13118,0.36,96770,7.23,0.01,536,0.56
2021-02-09,Africa,1338826591,3693025,275.84,0.28,11351,0.31,96234,7.19,0.01,699,0.73
2021-02-08,Africa,1338826591,3681674,274.99,0.27,11413,0.31,95535,7.14,0.01,443,0.47
2021-02-07,Africa,1338826591,3670261,274.14,0.27,11724,0.32,95092,7.10,0.01,357,0.38
2021-02-06,Africa,1338826591,3658537,273.26,0.27,13545,0.37,94735,7.08,0.01,548,0.58
2021-02-05,Africa,1338826591,3644992,272.25,0.27,15907,0.44,94187,7.04,0.01,547,0.58
2021-02-04,Africa,1338826591,3629085,271.06,0.27,16474,0.46,93640,6.99,0.01,567,0.61
2021-02-03,Africa,1338826591,3612611,269.83,0.27,15462,0.43,93073,6.95,0.01,709,0.77
2021-02-02,Africa,1338826591,3597149,268.68,0.27,14821,0.41,92364,6.90,0.01,884,0.97
2021-02-01,Africa,1338826591,3582328,267.57,0.27,12711,0.36,91480,6.83,0.01,509,0.56
2021-01-31,Africa,1338826591,3569617,266.62,0.27,15752,0.44,90971,6.79,0.01,525,0.58
2021-01-30,Africa,1338826591,3553865,265.45,0.27,17862,0.51,90446,6.76,0.01,615,0.68
2021-01-29,Africa,1338826591,3536003,264.11,0.26,19222,0.55,89831,6.71,0.01,846,0.95
2021-01-28,Africa,1338826591,3516781,262.68,0.26,20780,0.59,88985,6.65,0.01,996,1.13
2021-01-27,Africa,1338826591,3496001,261.12,0.26,20827,0.60,87989,6.57,0.01,1051,1.21
2021-01-26,Africa,1338826591,3475174,259.57,0.26,18598,0.54,86938,6.49,0.01,983,1.14
2021-01-25,Africa,1338826591,3456576,258.18,0.26,16695,0.49,85955,6.42,0.01,771,0.91
2021-01-24,Africa,1338826591,3439881,256.93,0.26,20120,0.59,85184,6.36,0.01,647,0.77
2021-01-23,Africa,1338826591,3419761,255.43,0.26,27308,0.80,84537,6.31,0.01,782,0.93
2021-01-22,Africa,1338826591,3392453,253.39,0.25,26179,0.78,83755,6.26,0.01,974,1.18
2021-01-21,Africa,1338826591,3366274,251.43,0.25,27865,0.83,82781,6.18,0.01,1025,1.25
2021-01-20,Africa,1338826591,3338409,249.35,0.25,28337,0.86,81756,6.11,0.01,922,1.14
2021-01-19,Africa,1338826591,3310072,247.24,0.25,23410,0.71,80834,6.04,0.01,1202,1.51
2021-01-18,Africa,1338826591,3286662,245.49,0.25,22476,0.69,79632,5.95,0.01,725,0.92
2021-01-17,Africa,1338826591,3264186,243.81,0.24,26569,0.82,78907,5.89,0.01,598,0.76
2021-01-16,Africa,1338826591,3237617,241.82,0.24,27568,0.86,78309,5.85,0.01,663,0.85
2021-01-15,Africa,1338826591,3210049,239.77,0.24,31575,0.99,77646,5.80,0.01,905,1.18
2021-01-14,Africa,1338826591,3178474,237.41,0.24,34228,1.09,76741,5.73,0.01,1053,1.39
2021-01-13,Africa,1338826591,3144246,234.85,0.23,33997,1.09,75688,5.65,0.01,1220,1.64
2021-01-12,Africa,1338826591,3110249,232.31,0.23,26128,0.85,74468,5.56,0.01,1076,1.47
2021-01-11,Africa,1338826591,3084121,230.36,0.23,28033,0.92,73392,5.48,0.01,681,0.94
2021-01-10,Africa,1338826591,3056088,228.27,0.23,31607,1.05,72711,5.43,0.01,594,0.82
2021-01-09,Africa,1338826591,3024481,225.91,0.23,35099,1.17,72117,5.39,0.01,657,0.92
2021-01-08,Africa,1338826591,2989382,223.28,0.22,36473,1.24,71460,5.34,0.01,910,1.29
2021-01-07,Africa,1338826591,2952909,220.56,0.22,35402,1.21,70550,5.27,0.01,689,0.99
2021-01-06,Africa,1338826591,2917507,217.92,0.22,35792,1.24,69861,5.22,0.01,1110,1.61
2021-01-05,Africa,1338826591,2881715,215.24,0.22,26847,0.94,68751,5.14,0.01,820,1.21
2021-01-04,Africa,1338826591,2854868,213.24,0.21,21792,0.77,67931,5.07,0.01,685,1.02
2021-01-03,Africa,1338826591,2833076,211.61,0.21,21990,0.78,67246,5.02,0.01,605,0.91
2021-01-02,Africa,1338826591,2811086,209.97,0.21,22919,0.82,66641,4.98,0.00,515,0.78
2021-01-01,Africa,1338826591,2788167,208.25,0.21,2788167,0.00,66126,4.94,0.00,66126,0.00
2021-02-26,Asia,4563925207,24884050,545.23,0.55,74903,0.30,397205,8.70,0.01,969,0.24
2021-02-25,Asia,4563925207,24809147,543.59,0.54,75982,0.31,396236,8.68,0.01,951,0.24
