file_date,Country_Region,continent_name,total_deaths,population,kpi_deaths_100000,kpi_deaths_100
2021-02-05T00:00:00+01:00@Europe/Zurich,San Marino,Europe,68,33938,200.36537214921327,0.20036537214921327
2021-02-05T00:00:00+01:00@Europe/Zurich,Belgium,Europe,21295,11589616,183.742067036561,0.183742067036561
2021-02-05T00:00:00+01:00@Europe/Zurich,Slovenia,Europe,3595,2078932,172.92532896698881,0.1729253289669888
2021-02-05T00:00:00+01:00@Europe/Zurich,United Kingdom,Europe,111477,67886004,164.21205172129444,0.16421205172129444
2021-02-05T00:00:00+01:00@Europe/Zurich,Czechia,Europe,16976,10708982,158.5211367429696,0.15852113674296958
2021-02-05T00:00:00+01:00@Europe/Zurich,Italy,Europe,90618,60461828,149.87638150801527,0.14987638150801527
2021-02-05T00:00:00+01:00@Europe/Zurich,Bosnia and Herzegovina,Europe,4775,3280815,145.54310438107603,0.14554310438107604
2021-02-05T00:00:00+01:00@Europe/Zurich,North Macedonia,Europe,2908,2083380,139.5808733884361,0.13958087338843608
2021-02-05T00:00:00+01:00@Europe/Zurich,US,North America,459403,329466283,139.43854764646736,0.13943854764646738
2021-02-05T00:00:00+01:00@Europe/Zurich,Liechtenstein,Europe,52,38137,136.35052573616173,0.13635052573616174
2021-02-05T00:00:00+01:00@Europe/Zurich,Portugal,Europe,13740,10196707,134.749385267224,0.13474938526722402
2021-02-05T00:00:00+01:00@Europe/Zurich,Andorra,Europe,104,77265,134.60169546366402,0.13460169546366402
2021-02-05T00:00:00+01:00@Europe/Zurich,Bulgaria,Europe,9302,6948445,133.87167920304472,0.1338716792030447
2021-02-05T00:00:00+01:00@Europe/Zurich,Hungary,Europe,12930,9660350,133.84608218128744,0.13384608218128743
2021-02-05T00:00:00+01:00@Europe/Zurich,Montenegro,Europe,831,628062,132.31177813655341,0.1323117781365534
2021-02-05T00:00:00+01:00@Europe/Zurich,Spain,Europe,61386,46754783,131.29351921064418,0.13129351921064417
2021-02-05T00:00:00+01:00@Europe/Zurich,Mexico,North America,164290,127792286,128.56018554985394,0.12856018554985393
2021-02-05T00:00:00+01:00@Europe/Zurich,Peru,South America,41753,32971846,126.63227894489134,0.12663227894489135
2021-02-05T00:00:00+01:00@Europe/Zurich,Panama,North America,5426,4314768,125.75415410515699,0.125754154105157
2021-02-05T00:00:00+01:00@Europe/Zurich,Croatia,Europe,5122,4105268,124.76651950615648,0.12476651950615648
2021-02-05T00:00:00+01:00@Europe/Zurich,France,Europe,78749,65273512,120.64464985429312,0.12064464985429313
2021-02-05T00:00:00+01:00@Europe/Zurich,Sweden,Europe,12115,10099270,119.95916536541749,0.1199591653654175
2021-02-05T00:00:00+01:00@Europe/Zurich,Switzerland,Europe,9584,8654618,110.73856754856193,0.11073856754856193
2021-02-05T00:00:00+01:00@Europe/Zurich,Colombia,South America,55403,50882884,108.88337225539338,0.10888337225539338
2021-02-05T00:00:00+01:00@Europe/Zurich,Argentina,South America,48985,45195777,108.38402003797833,0.10838402003797833
2021-02-05T00:00:00+01:00@Europe/Zurich,Brazil,South America,230034,212559409,108.22103857091548,0.10822103857091549
2021-02-05T00:00:00+01:00@Europe/Zurich,Lithuania,Europe,2908,2722291,106.82179091067046,0.10682179091067046
2021-02-05T00:00:00+01:00@Europe/Zurich,Armenia,Asia,3109,2963234,104.91915252052318,0.10491915252052318
2021-02-05T00:00:00+01:00@Europe/Zurich,Poland,Europe,38712,37846605,102.28658554710523,0.10228658554710522
2021-02-05T00:00:00+01:00@Europe/Zurich,Chile,South America,18808,19116209,98.38770856711182,0.09838770856711182
2021-02-05T00:00:00+01:00@Europe/Zurich,Romania,Europe,18748,19237682,97.45456859095601,0.09745456859095603
2021-02-05T00:00:00+01:00@Europe/Zurich,Luxembourg,Europe,590,625976,94.25281480440144,0.09425281480440144
2021-02-05T00:00:00+01:00@Europe/Zurich,Slovakia,Europe,5050,5459643,92.49689036444325,0.09249689036444325
2021-02-05T00:00:00+01:00@Europe/Zurich,Bolivia,South America,10687,11673029,91.55292940675467,0.09155292940675466
2021-02-05T00:00:00+01:00@Europe/Zurich,Austria,Europe,7973,9006400,88.52593711138745,0.08852593711138745
2021-02-05T00:00:00+01:00@Europe/Zurich,Moldova,Europe,3515,4033963,87.13515716430716,0.08713515716430716
2021-02-05T00:00:00+01:00@Europe/Zurich,Ecuador,South America,14982,17643060,84.91724224709318,0.08491724224709318
2021-02-05T00:00:00+01:00@Europe/Zurich,Netherlands,Europe,14407,17134873,84.07999288935494,0.08407999288935494
2021-02-05T00:00:00+01:00@Europe/Zurich,Kosovo,Europe,1519,1810366,83.90568536969873,0.08390568536969872
2021-02-05T00:00:00+01:00@Europe/Zurich,Georgia,Asia,3258,3989175,81.67102220383914,0.08167102220383914
2021-02-05T00:00:00+01:00@Europe/Zurich,South Africa,Africa,45902,59308690,77.3950663890907,0.0773950663890907
2021-02-05T00:00:00+01:00@Europe/Zurich,Belize,North America,306,397621,76.95770595617435,0.07695770595617435
2021-02-05T00:00:00+01:00@Europe/Zurich,Ireland,Europe,3621,4937796,73.33231263502988,0.07333231263502989
2021-02-05T00:00:00+01:00@Europe/Zurich,Germany,Europe,61324,83783945,73.19302045278484,0.07319302045278485
2021-02-05T00:00:00+01:00@Europe/Zurich,Iran,Asia,58336,83992953,69.45344569561686,0.06945344569561687
2021-02-05T00:00:00+01:00@Europe/Zurich,Latvia,Europe,1309,1886202,69.3987176346966,0.0693987176346966
2021-02-05T00:00:00+01:00@Europe/Zurich,Malta,Europe,277,441539,62.735115131392696,0.0627351151313927
2021-02-05T00:00:00+01:00@Europe/Zurich,Tunisia,Africa,7099,11818618,60.06624463198658,0.06006624463198658
2021-02-05T00:00:00+01:00@Europe/Zurich,Israel,Asia,5020,8655541,57.99753013705325,0.05799753013705325
2021-02-05T00:00:00+01:00@Europe/Zurich,Greece,Europe,5922,10423056,56.81635021437091,0.05681635021437091
2021-02-05T00:00:00+01:00@Europe/Zurich,Ukraine,Europe,24599,43733759,56.247165947935095,0.05624716594793509
2021-02-05T00:00:00+01:00@Europe/Zurich,Canada,North America,20607,37855702,54.43565674729794,0.05443565674729794
2021-02-05T00:00:00+01:00@Europe/Zurich,Costa Rica,North America,2672,5094114,52.45269344188214,0.05245269344188214
2021-02-05T00:00:00+01:00@Europe/Zurich,Eswatini,Africa,600,1160164,51.71682624180719,0.05171682624180719
2021-02-05T00:00:00+01:00@Europe/Zurich,Lebanon,Asia,3495,6825442,51.20547504469308,0.05120547504469308
2021-02-05T00:00:00+01:00@Europe/Zurich,Russia,Europe,74520,145934460,51.064018738274704,0.05106401873827471
2021-02-05T00:00:00+01:00@Europe/Zurich,Albania,Europe,1433,2877800,49.794982278129126,0.049794982278129125
2021-02-05T00:00:00+01:00@Europe/Zurich,Monaco,Europe,19,39244,48.41504433798797,0.048415044337987975
2021-02-05T00:00:00+01:00@Europe/Zurich,Serbia,Europe,4099,8737370,46.91343047164078,0.046913430471640774
2021-02-05T00:00:00+01:00@Europe/Zurich,Bahamas,North America,176,393248,44.75547237366751,0.04475547237366751
2021-02-05T00:00:00+01:00@Europe/Zurich,Jordan,Asia,4362,10203140,42.75154511258299,0.042751545112582987
2021-02-05T00:00:00+01:00@Europe/Zurich,Paraguay,South America,2791,7132530,39.130574985313764,0.03913057498531376
2021-02-05T00:00:00+01:00@Europe/Zurich,Denmark,Europe,2202,5792203,38.01662338146643,0.03801662338146643
2021-02-05T00:00:00+01:00@Europe/Zurich,Honduras,North America,3694,9904608,37.29577182660838,0.03729577182660838
2021-02-05T00:00:00+01:00@Europe/Zurich,West Bank and Gaza,Asia,1867,5101416,36.59768189851602,0.03659768189851602
2021-02-05T00:00:00+01:00@Europe/Zurich,Estonia,Europe,447,1326539,33.696710010033634,0.03369671001003363
2021-02-05T00:00:00+01:00@Europe/Zurich,Iraq,Asia,13103,40222503,32.57629193290134,0.03257629193290134
2021-02-05T00:00:00+01:00@Europe/Zurich,Guatemala,North America,5816,17915567,32.463387845888434,0.03246338784588844
2021-02-05T00:00:00+01:00@Europe/Zurich,Turkey,Asia,26577,84339067,31.512086800770515,0.031512086800770514
2021-02-05T00:00:00+01:00@Europe/Zurich,Azerbaijan,Asia,3153,10139175,31.097204654224825,0.031097204654224827
2021-02-05T00:00:00+01:00@Europe/Zurich,Oman,Asia,1532,5106622,30.000262404383957,0.030000262404383957
2021-02-05T00:00:00+01:00@Europe/Zurich,Libya,Africa,1936,6871287,28.175216666106365,0.028175216666106367
2021-02-05T00:00:00+01:00@Europe/Zurich,Suriname,South America,158,586634,26.933317877927294,0.02693331787792729
2021-02-05T00:00:00+01:00@Europe/Zurich,El Salvador,North America,1662,6486201,25.623627759916786,0.025623627759916785
2021-02-05T00:00:00+01:00@Europe/Zurich,Dominican Republic,North America,2773,10847904,25.562541851402816,0.025562541851402817
2021-02-05T00:00:00+01:00@Europe/Zurich,Cabo Verde,Africa,135,555988,24.281099592077528,0.024281099592077526
2021-02-05T00:00:00+01:00@Europe/Zurich,Guyana,South America,179,786559,22.757351959611423,0.022757351959611424
2021-02-05T00:00:00+01:00@Europe/Zurich,Morocco,Africa,8368,36910558,22.67102003713951,0.02267102003713951
2021-02-05T00:00:00+01:00@Europe/Zurich,Kuwait,Asia,964,4270563,22.5731361415345,0.0225731361415345
2021-02-05T00:00:00+01:00@Europe/Zurich,Bahrain,Asia,377,1701583,22.155839591721353,0.022155839591721356
2021-02-05T00:00:00+01:00@Europe/Zurich,Kyrgyzstan,Asia,1420,6524191,21.76515065239506,0.021765150652395062
2021-02-05T00:00:00+01:00@Europe/Zurich,Belarus,Europe,1764,9449321,18.66800799761168,0.01866800799761168
2021-02-05T00:00:00+01:00@Europe/Zurich,Saudi Arabia,Asia,6393,34813867,18.363372273467924,0.018363372273467925
2021-02-05T00:00:00+01:00@Europe/Zurich,Cyprus,Europe,210,1207361,17.3933065586846,0.017393306558684603
2021-02-05T00:00:00+01:00@Europe/Zurich,Kazakhstan,Asia,3119,18776707,16.611006392121897,0.0166110063921219
2021-02-05T00:00:00+01:00@Europe/Zurich,Namibia,Africa,370,2540916,14.561677757155293,0.014561677757155294
2021-02-05T00:00:00+01:00@Europe/Zurich,Uruguay,South America,478,3473727,13.760436557046653,0.013760436557046653
2021-02-05T00:00:00+01:00@Europe/Zurich,Finland,Europe,688,5540718,12.417163262956173,0.012417163262956173
2021-02-05T00:00:00+01:00@Europe/Zurich,Comoros,Africa,105,869595,12.074586445414244,0.012074586445414245
2021-02-05T00:00:00+01:00@Europe/Zurich,Jamaica,North America,357,2961161,12.056082057003993,0.012056082057003993
2021-02-05T00:00:00+01:00@Europe/Zurich,Indonesia,Asia,31202,273523621,11.407424297004317,0.011407424297004316
2021-02-05T00:00:00+01:00@Europe/Zurich,India,Asia,154918,1380004385,11.225906358261318,0.011225906358261319
2021-02-05T00:00:00+01:00@Europe/Zurich,Norway,Europe,582,5421242,10.735547315541346,0.010735547315541346
2021-02-05T00:00:00+01:00@Europe/Zurich,Philippines,Asia,11058,109581085,10.091157611735639,0.01009115761173564
2021-02-05T00:00:00+01:00@Europe/Zurich,Maldives,Asia,54,540542,9.989973027072827,0.009989973027072828
2021-02-05T00:00:00+01:00@Europe/Zurich,Saint Lucia,North America,18,183629,9.802373263482348,0.009802373263482347
2021-02-05T00:00:00+01:00@Europe/Zurich,Trinidad and Tobago,North America,135,1399491,9.64636428530087,0.00964636428530087
2021-02-05T00:00:00+01:00@Europe/Zurich,Egypt,Africa,9560,102334403,9.341921895024882,0.009341921895024882
2021-02-05T00:00:00+01:00@Europe/Zurich,Mauritania,Africa,425,4649660,9.140453280454915,0.009140453280454914
2021-02-05T00:00:00+01:00@Europe/Zurich,United Arab Emirates,Asia,902,9890400,9.119954703550919,0.009119954703550918
2021-02-05T00:00:00+01:00@Europe/Zurich,Zimbabwe,Africa,1303,14862927,8.766779248798032,0.008766779248798031
2021-02-05T00:00:00+01:00@Europe/Zurich,Qatar,Asia,250,2881060,8.677361804335904,0.008677361804335903
2021-02-05T00:00:00+01:00@Europe/Zurich,Iceland,Europe,29,341250,8.498168498168498,0.008498168498168498
2021-02-05T00:00:00+01:00@Europe/Zurich,Lesotho,Africa,180,2142252,8.402372830087216,0.008402372830087218
2021-02-05T00:00:00+01:00@Europe/Zurich,Sao Tome and Principe,Africa,18,219161,8.213140111607448,0.008213140111607448
2021-02-05T00:00:00+01:00@Europe/Zurich,Antigua and Barbuda,North America,7,97928,7.148108814639326,0.007148108814639327
